Scene Name,Region #,Bathroom,Bedroom,Dining room,Garage,Hall/stairwell,Kitchen,Laundry room,Living room,Office,Rec room,Unknown room,Weighted Room Proposal
00006-HkseAnWCgqk,0,0,10,0,0,0,0,0,0,0,0,21, Bedroom
00006-HkseAnWCgqk,1,0,0,0,0,0,0,0,0,2,0,26, Office
00006-HkseAnWCgqk,2,0,0,0,0,0,0,0,1,0,0,25, Living room
00006-HkseAnWCgqk,3,0,0,0,0,0,0,0,0,0,0,10, Unknown room
00006-HkseAnWCgqk,4,5,0,0,0,0,0,0,0,0,0,12, Bathroom
00006-HkseAnWCgqk,5,0,1,0,0,1,0,0,0,0,0,19, Tie: Bedroom & Hall/stairwell
00006-HkseAnWCgqk,6,0,0,0,0,0,0,0,0,0,0,13, Unknown room
00006-HkseAnWCgqk,7,3,0,0,0,0,0,0,0,0,0,9, Bathroom
00006-HkseAnWCgqk,8,0,0,2,0,0,9,0,1,0,0,36, Kitchen
00006-HkseAnWCgqk,9,0,0,0,0,0,0,0,0,0,0,6, Unknown room
00006-HkseAnWCgqk,10,1,0,0,0,0,0,0,0,0,0,6, Bathroom
00009-vLpv2VX547B,0,0,1,0,0,0,0,0,0,4,0,28, Office
00009-vLpv2VX547B,1,4,0,0,0,0,0,0,0,0,0,26, Bathroom
00009-vLpv2VX547B,2,0,0,0,0,0,0,0,0,0,0,4, Unknown room
00009-vLpv2VX547B,3,1,0,0,0,0,0,0,0,0,0,12, Bathroom
00009-vLpv2VX547B,4,0,11,0,0,0,0,0,0,1,0,28, Bedroom
00009-vLpv2VX547B,5,0,0,0,0,0,0,0,0,0,0,5, Unknown room
00009-vLpv2VX547B,6,0,0,0,0,0,0,0,0,0,0,4, Unknown room
00009-vLpv2VX547B,7,0,0,0,0,0,6,1,1,0,0,35, Kitchen
00009-vLpv2VX547B,8,0,0,0,0,0,0,0,0,0,0,12, Unknown room
00009-vLpv2VX547B,9,0,11,0,0,0,0,0,0,0,0,15, Bedroom
00009-vLpv2VX547B,10,0,0,0,0,0,0,0,0,0,0,18, Unknown room
00009-vLpv2VX547B,11,0,1,0,0,0,0,0,0,0,0,4, Bedroom
00009-vLpv2VX547B,12,0,0,0,0,1,0,0,1,0,0,28, Tie: Living room & Hall/stairwell
00009-vLpv2VX547B,13,5,0,0,0,0,0,0,0,0,0,20, Bathroom
00009-vLpv2VX547B,14,0,1,0,0,0,2,0,0,4,0,25, Office
00009-vLpv2VX547B,15,0,0,0,0,0,5,0,0,0,0,21, Kitchen
00009-vLpv2VX547B,16,0,1,0,0,0,0,0,0,0,0,18, Bedroom
00009-vLpv2VX547B,17,0,0,0,0,0,0,0,0,0,0,5, Unknown room
00009-vLpv2VX547B,18,0,0,0,0,0,0,0,0,0,0,5, Unknown room
00009-vLpv2VX547B,19,0,11,0,0,0,0,0,0,1,0,23, Bedroom
00009-vLpv2VX547B,20,0,1,0,0,0,0,0,1,0,0,12, Tie: Bedroom & Living room
00009-vLpv2VX547B,21,0,0,0,0,0,0,0,0,0,0,22, Unknown room
00009-vLpv2VX547B,22,0,10,0,0,0,0,0,0,0,0,19, Bedroom
00009-vLpv2VX547B,23,0,12,0,0,0,0,0,0,0,0,20, Bedroom
00016-qk9eeNeR4vw,1,0,0,0,0,0,0,0,2,0,0,13, Living room
00016-qk9eeNeR4vw,2,0,0,0,0,0,0,0,0,0,0,11, Unknown room
00016-qk9eeNeR4vw,3,0,12,0,0,0,0,0,0,0,0,22, Bedroom
00016-qk9eeNeR4vw,4,6,0,0,0,0,0,0,0,0,0,14, Bathroom
00016-qk9eeNeR4vw,5,0,0,0,0,0,5,0,0,0,0,12, Kitchen
00016-qk9eeNeR4vw,6,0,0,0,0,0,0,0,2,1,0,40, Living room
00016-qk9eeNeR4vw,7,0,0,0,0,0,1,0,0,0,0,13, Kitchen
00016-qk9eeNeR4vw,8,0,11,0,0,0,0,0,0,0,0,12, Bedroom
00016-qk9eeNeR4vw,9,0,0,0,0,0,0,0,0,0,0,8, Unknown room
00016-qk9eeNeR4vw,10,0,0,0,0,0,0,1,0,0,0,12, Laundry room
00016-qk9eeNeR4vw,11,0,11,0,0,0,0,0,0,0,0,13, Bedroom
00016-qk9eeNeR4vw,12,0,10,0,0,0,0,0,0,0,0,27, Bedroom
00016-qk9eeNeR4vw,13,5,0,0,0,0,0,0,0,0,0,20, Bathroom
00017-oEPjPNSPmzL,0,0,0,0,0,0,0,0,1,0,0,20, Living room
00017-oEPjPNSPmzL,1,0,0,0,0,0,13,0,0,0,0,24, Kitchen
00017-oEPjPNSPmzL,2,0,0,0,0,0,0,0,0,0,0,6, Unknown room
00017-oEPjPNSPmzL,3,1,0,0,0,0,0,1,0,0,0,16, Tie: Laundry room & Bathroom
00017-oEPjPNSPmzL,4,2,0,0,0,0,0,0,0,0,0,8, Bathroom
00017-oEPjPNSPmzL,5,7,0,0,0,0,0,0,0,0,0,18, Bathroom
00017-oEPjPNSPmzL,6,0,10,0,0,0,0,0,0,0,0,11, Bedroom
00017-oEPjPNSPmzL,7,0,11,0,0,0,0,0,0,0,0,19, Bedroom
00017-oEPjPNSPmzL,8,0,1,0,0,0,0,0,0,4,0,18, Office
00020-XYyR54sxe6b,1,0,1,0,0,0,0,0,0,0,0,10, Bedroom
00020-XYyR54sxe6b,2,0,0,0,0,2,0,0,0,0,0,13, Hall/stairwell
00020-XYyR54sxe6b,3,0,0,0,0,0,0,0,2,0,0,19, Living room
00020-XYyR54sxe6b,4,6,0,0,0,0,0,0,0,0,0,9, Bathroom
00020-XYyR54sxe6b,5,0,0,0,0,0,0,0,0,0,0,21, Unknown room
00020-XYyR54sxe6b,6,0,0,0,0,0,3,2,0,0,0,23, Kitchen
00020-XYyR54sxe6b,7,0,0,0,0,0,0,0,0,0,0,8, Unknown room
00020-XYyR54sxe6b,8,0,11,0,0,0,0,0,0,0,0,14, Bedroom
00020-XYyR54sxe6b,9,0,11,0,0,0,0,0,0,0,0,12, Bedroom
00020-XYyR54sxe6b,10,4,0,0,0,0,0,0,0,0,0,17, Bathroom
00020-XYyR54sxe6b,11,0,0,0,0,0,0,0,0,0,0,8, Unknown room
00022-gmuS7Wgsbrx,0,0,12,0,0,0,0,0,0,0,0,10, Bedroom
00022-gmuS7Wgsbrx,1,0,0,0,0,0,0,0,0,0,0,7, Unknown room
00022-gmuS7Wgsbrx,2,3,0,0,0,0,0,0,0,0,0,5, Bathroom
00022-gmuS7Wgsbrx,3,0,12,0,0,0,0,0,0,2,0,16, Bedroom
00022-gmuS7Wgsbrx,4,0,11,0,0,0,0,0,0,0,0,10, Bedroom
00022-gmuS7Wgsbrx,5,0,0,0,0,0,0,0,0,0,0,9, Unknown room
00022-gmuS7Wgsbrx,6,4,0,0,0,0,0,0,0,0,0,4, Bathroom
00022-gmuS7Wgsbrx,7,0,11,0,0,0,0,0,0,0,0,12, Bedroom
00022-gmuS7Wgsbrx,8,0,0,0,0,0,0,0,0,3,0,11, Office
00022-gmuS7Wgsbrx,9,0,0,0,0,4,0,0,0,0,0,11, Hall/stairwell
00022-gmuS7Wgsbrx,10,0,0,0,0,0,0,0,0,0,0,11, Unknown room
00022-gmuS7Wgsbrx,11,0,0,0,0,0,0,0,1,0,0,13, Living room
00022-gmuS7Wgsbrx,12,0,0,2,0,0,10,0,1,0,0,22, Kitchen
00022-gmuS7Wgsbrx,13,0,0,0,0,0,0,0,0,0,0,10, Unknown room
00022-gmuS7Wgsbrx,14,0,0,0,0,0,0,0,0,0,0,7, Unknown room
00022-gmuS7Wgsbrx,15,3,0,0,0,0,0,0,0,0,0,9, Bathroom
00022-gmuS7Wgsbrx,16,0,0,0,0,0,0,0,0,0,0,6, Unknown room
00022-gmuS7Wgsbrx,17,0,0,0,0,0,0,0,0,3,0,17, Office
00022-gmuS7Wgsbrx,18,7,0,0,0,0,0,0,0,0,0,14, Bathroom
00022-gmuS7Wgsbrx,19,3,0,0,0,0,0,0,0,0,0,5, Bathroom
00022-gmuS7Wgsbrx,20,0,0,0,0,0,0,0,0,0,0,4, Unknown room
00022-gmuS7Wgsbrx,21,0,0,0,0,0,0,0,0,0,0,12, Unknown room
00022-gmuS7Wgsbrx,22,0,11,0,0,0,0,0,0,2,0,16, Bedroom
00022-gmuS7Wgsbrx,23,0,0,0,0,0,0,0,0,0,0,5, Unknown room
00022-gmuS7Wgsbrx,24,0,0,0,0,0,0,0,2,0,0,22, Living room
00023-zepmXAdrpjR,0,0,13,0,0,0,0,0,0,0,0,17, Bedroom
00023-zepmXAdrpjR,1,0,1,0,0,0,0,0,0,0,0,6, Bedroom
00023-zepmXAdrpjR,2,7,0,0,0,0,0,0,0,0,0,13, Bathroom
00023-zepmXAdrpjR,3,7,0,0,0,0,0,0,0,0,0,21, Bathroom
