Object Type Name; # of instances in semantic text files
wall;25036
unknown;5970
picture;4471
ceiling;4440
pillow;3841
door;3622
lamp;3571
door frame;3477
floor;3231
window;3189
cabinet;2529
ceiling lamp;2519
box;2463
book;2434
chair;2339
window frame;2180
decoration;2047
shelf;1408
table;1304
mirror;1242
curtain;1206
kitchen cabinet;1185
towel;1089
painting;1088
bag;769
shoe;761
plant;750
clothes;748
sink;739
stairs;731
bed;715
toy;665
tap;627
cardboard box;604
rug;589
toilet;561
beam;529
basket;526
armchair;498
wall lamp;491
drawer;490
shower wall;461
pipe;449
wardrobe;447
wall hanging decoration;442
vase;430
toilet paper;425
cushion;420
bottle;407
tv;394
carpet;388
desk;353
decorative plant;353
radiator;352
door knob;343
ventilation;338
blanket;336
hanger;333
blinds;333
couch;331
photo;331
clutter;328
stool;320
trashcan;315
container;313
window curtain;308
appliance;303
ornament;302
flowerpot;301
product;300
candle;297
device;293
storage box;293
rack;284
nightstand;284
dining chair;277
light fixture;268
support beam;265
basket of something;257
curtain rod;255
towel bar;255
vent;251
bathroom cabinet;238
plate;235
speaker;233
heater;227
window glass;223
kitchen appliance;219
bathroom accessory;216
faucet;213
kitchen lower cabinet;211
clock;210
flower vase;209
board;206
hanging clothes;205
cabinet door;202
cup;199
table lamp;199
dresser;198
air vent;198
case;195
cloth;192
bathtub;190
bin;189
flower;189
refrigerator;188
can;186
bowl;185
cosmetics;180
ceiling vent;178
pot;177
jar;176
glass;175
microwave;174
chest of drawers;167
coffee table;162
bottle of detergent;162
stack of papers;159
bathroom utensil;159
sofa;159
fire alarm;157
fan;157
monitor;156
bucket;153
kitchen counter;151
tray;151
ceiling fan;149
shelving;149
telephone;148
toilet brush;148
kitchen utensil;147
washbasin;146
shower floor;143
bedside lamp;143
pillar;143
mat;142
washing machine;140
alarm;138
dishwasher;138
sensor;138
photo mount;138
oven;136
frame;136
plush toy;132
smoke detector;132
fireplace;130
bench;130
cosmetic;129
wall electronics;128
art frame;128
side table;126
paper;124
kitchen countertop item;123
coffee machine;120
sink cabinet;119
countertop;118
wall panel;116
sign;115
liquid soap;114
toilet paper dispenser;114
paper towel;113
soap dispenser;113
parapet;113
magazine;112
bookshelf;109
hat;107
shower cabin;106
tissue box;106
stairs railing;106
shower curtain;106
chandelier;103
bed table;103
handrail;103
keyboard;103
printer;102
doorpost;102
stair step;100
tool;100
ceiling light;100
stand;99
floor lamp;99
window shutter;99
doormat;98
window shade;98
curtain rail;96
ventilation hood;96
bathroom towel;92
decor;90
stove;88
bath wall;88
chest;87
railing;87
door window;87
pouffe;86
wall clock;86
picture frame;86
shampoo;85
air conditioner;83
clothes hanger;83
ceiling wall;83
showerhead;83
stuffed animal;81
mirror frame;79
electric box;78
step;77
floor mat;76
banister;76
wall board;75
shower dial;75
remote control;74
display cabinet;73
bathroom shelf;73
laundry basket;73
sofa chair;73
wash cabinet;73
decorative plate;73
bar chair;72
partition;72
desk chair;71
folder;71
vacuum cleaner;71
broom;71
laptop;70
trash can;70
ladder;69
brochure;68
storage bin;68
tool box;67
oven and stove;67
boxes;67
kettle;66
seat;66
shelf with clutter;66
sculpture;65
soap;65
strings;65
binder;64
ceiling lower;64
display;64
dining table;63
ceiling light fixture connection;63
office chair;62
statue;62
closet door;62
staircase handrail;61
cabinet /otherroom;61
wall cabinet;60
tv stand;60
closet;60
box with books;59
bar;58
fireplace wall;58
bath towel;57
washing stuff;56
guitar;55
magazines;55
toaster;54
fire extinguisher;54
candle holder;54
fridge;54
light;53
poster;53
machine;52
soap bottle;51
calendar;51
cutting board;51
stack of books;51
price tag;50
gym equipment;50
kitchen island;49
shower knob;49
laundry machine;48
kitchen decoration;48
jewelry;48
artwork;48
ball;47
cuddly toy;47
bowl of fruit;47
kitchen shelf;46
bathroom counter;46
